latitude,longitude,facility_name,source_facility_type,odhf_facility_type,provider,city,province
50.02141523,-113.5805593,Claresholm Centre For Mental Health And Addictions,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Claresholm,Alberta
50.131652,-97.335247,Stonewall And District Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Stonewall,Manitoba
50.438675,-100.594663,Shoal Lake-Strathclair Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Shoal Lake,Manitoba
50.43975855,-119.2103118,Pleasant Valley Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Armstrong,British Columbia
50.71111995,-113.9738239,Okotoks Health And Wellness Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Okotoks,Alberta
50.868696,-56.117025,White Bay Central Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Roddickton,Newfoundland and Labrador
50.905138,-97.226298,Arborg And Districts Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Arborg,Manitoba
50.90717826,-114.0588818,South Calgary Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Calgary,Alberta
50.997075,-114.0981766,Carewest — Glenmore Park,Active Acute Hospital,Nursing And Residential Care Facilities,Canadian Institute for Health Information,Calgary,Alberta
51.04154304,-114.0647274,Cochrane Community Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Cochrane,Alberta
51.04528145,-114.0714361,Sheldon M. Chumir Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Calgary,Alberta
51.07834657,-113.9865871,Sunridge Medical Gallery — General Ambulatory,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Calgary,Alberta
51.07834657,-113.9865871,Sunridge Medical Gallery — Mental Health,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Calgary,Alberta
51.15941126,-114.2190479,Southern Alberta Forensic Psychiatric Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Calgary,Alberta
51.178923,-100.70023,Grandview District Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Grandview,Manitoba
51.20598894,-102.4784087,Yorkton Regional And Mental Health Centre — Yorkton Regional Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Yorkton,Saskatchewan
51.28707357,-114.0126208,Airdrie Community Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Airdrie,Alberta
51.31147824,-56.71463472,Strait Of Belle Isle Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,St Anthony,Newfoundland and Labrador
51.917673,-109.14045,Kerrobert Integrated Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Kerrobert,Saskatchewan
52.04170508,-95.46208286,Little Grand Rapids Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Little Grand Rapids,Manitoba
52.099188,-101.271765,Ste. Rose General Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Ste Rose Du Lac,Manitoba
52.13301968,-106.6938972,Emmanuel Health - St. Anthony’S Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Esterhazy,Saskatchewan
52.16033346,-95.37477574,Pauingassi Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Pauingassi,Manitoba
52.21616563,-105.1206562,Humboldt District Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Humboldt,Saskatchewan
52.31166261,-114.0915506,Sylvan Lake Community Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Sylvan Lake,Alberta
52.58331714,-112.972625,Bashaw Care Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Bashaw,Alberta
52.77716481,-108.2889153,Battlefords Union Hospital And Mental Health Centre — Battlefords Union Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,North Battleford,Saskatchewan
52.7997174,-67.09014595,Cisss De La Côte-Nord — Centre De Santé Et De Services Sociaux De L’Hématite,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Fermont,Quebec
53.296639,-60.341373,Labrador Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Happy Valley-Goose Bay,Newfoundland and Labrador
53.52562667,-113.6090502,Covenant Health Villa Caritas,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.56471589,-113.4621231,East Edmonton Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.572635,-113.2760587,Strathcona Community Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Sherwood Park,Alberta
53.66320137,-111.2288567,Myrnam Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Myrnham,Alberta
53.81986412,-94.85057195,St. Theresa Point Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,St Theresa Point,Manitoba
53.829393,-101.247878,The Pas Health Complex,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,The Pas,Manitoba
53.87618504,-94.65427821,Garden Hill Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Garden Hill,Manitoba
53.9115407,-94.94549206,Wasagamack Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Wasagamack,Manitoba
54.588366,-112.801974,Boyle Healthcare Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Boyle,Alberta
54.72161407,-113.2562099,Athabasca Health Facility- Yutthe Dene Nakohoki Health Facility,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Black Lake,Saskatchewan
54.881037,-100.027829,Snow Lake Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Snow Lake,Manitoba
55.87585062,-92.09656215,Shamattawa Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Shamattawa,Manitoba
56.0903589,-96.09520327,York Landing Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,York Landing,Manitoba
56.79188789,-98.94026567,South Indian Lake Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,South Indian Lake,Manitoba
57.88321788,-101.6685196,Brochet - Barren Lands Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Brochet,Manitoba
58.1905572,-116.4184397,La Crete Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,La Crete,Alberta
58.50534062,-119.3957254,Rainbow Lake Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Rainbow Lake,Alberta
58.62394932,-101.486558,Lac Brochet Nursing Station,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Lac Brochet,Manitoba
60.80499889,-115.8073326,Hay River Regional Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Hay River,Northwest Territories
43.75942263,-79.52527822,Mackenzie Health — Reactivation Care Centre Finch,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Toronto,Ontario
47.61832753,-57.62271828,Calder Health Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Burgeo,Newfoundland and Labrador
48.44586201,-123.3875109,Gorge Road Hospital,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Victoria,British Columbia
49.04537833,-122.2975999,Cottage-Worthington Pavilion,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Abbotsford,British Columbia
49.13798302,-53.59068737,Dr. Y.K. Jeon Kittiwake Health Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Brookfield,Newfoundland and Labrador
49.15742725,-103.0124887,Emmanuel Health - St. Joseph’S Hospital [Estevan],"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Estevan,Saskatchewan
49.22042641,-122.9012397,Queen’S Park & Fellburn Care Centres — Queen’S Park Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,New Westminster,British Columbia
49.22087489,-122.903643,Queen’S Park & Fellburn Care Centres — Fellburn Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Burnaby,British Columbia
49.68853961,-112.8217154,Covenant Health St. Michael’S Health Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Lethbridge,Alberta
49.8780089,-106.5622394,Emmanuel Health - St. Joseph’S Hospital/Foyer D’Youville,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Gravelbourg,Saskatchewan
51.02553053,-114.1256681,Carewest — Sarcee,"Active Acute Hospital, Long-Term Care",Nursing And Residential Care Facilities,Canadian Institute for Health Information,Calgary,Alberta
51.06656742,-114.1442071,Carewest — Colonel Belcher,"Active Acute Hospital, Long-Term Care",Nursing And Residential Care Facilities,Canadian Institute for Health Information,Calgary,Alberta
51.07053249,-114.0444999,Carewest — Dr. Vernon Fanning Centre,"Active Acute Hospital, Long-Term Care",Nursing And Residential Care Facilities,Canadian Institute for Health Information,Calgary,Alberta
51.55508428,-107.9967118,Rosetown Health Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Rosetown,Saskatchewan
51.67753285,-105.4560344,Watrous District Health Complex — Watrous Hospital,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Watrous,Saskatchewan
51.8223704,-113.2272143,Covenant Health St. Mary’S Health Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Trochu,Alberta
53.22639154,-106.3867074,Parkland Integrated Health Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Shellbrook,Saskatchewan
53.34013563,-111.1731827,Mannville Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Mannville,Alberta
53.46277643,-113.5057102,Covenant Health St. Joseph’S Auxiliary Hospital,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.50198062,-113.5431648,Capitalcare — Grandview,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.54299847,-113.5146724,Covenant Health Edmonton General Continuing Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.56349515,-113.500832,Capitalcare — Norwood,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Edmonton,Alberta
53.60418399,-112.3427609,Covenant Health Mary Immaculate Care Centre,"Active Acute Hospital, Long-Term Care",Hospitals,Canadian Institute for Health Information,Mundare,Alberta
50.090297,-108.481251,Gull Lake Special Care Centre,"Active Acute Hospital, Long-Term Care",Nursing And Residential Care Facilities,Saskatchewan Health Authorities,Gull Lake,Saskatchewan
45.255165,-74.134835,Centre De Réadaptation En Dépendance De Salaberry-De-Valleyfield,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Salaberry-De-Valleyfield,Quebec
45.337344,-73.26764,Centre De Réadaptation En Dépendance De Saint-Jean-Sur-Richelieu,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Jean-Sur-Richelieu,Quebec
45.354185,-73.477623,Centre De Réadaptation En Dépendance De Saint-Philippe,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Philippe,Quebec
45.390813,-73.516692,Centre De Réadaptation En Dépendance De Candiac,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Candiac,Quebec
45.397666,-71.922211,Centre De Réadaptation En Dépendance Jean-Patrice-Chiasson,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Sherbrooke,Quebec
45.399614,-72.721986,Centre De Réadaptation En Dépendance De Granby,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Granby,Quebec
45.422378,-75.748327,Centre De Réadaptation En Dépendance De L'Outaouais,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Gatineau,Quebec
45.463416,-73.627087,Centre De Réadaptation En Dépendance Boulevard Cavendish,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.469046,-73.828369,Centre D'Acceuil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Pointe-Claire,Quebec
45.477716,-73.464849,Centre De Réadaptation En Dépendance De Longueuil,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Brossard,Quebec
45.484724,-73.576677,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.491836,-73.572509,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.492729,-75.639134,Centre De Réadaptation En Dépendance Saint-René,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Gatineau,Quebec
45.50347,-73.427569,Centre De Réadaptation En Dépendance Boulevard Cousineau,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Longueuil,Quebec
45.511939,-73.572946,Centre De Réadaptation En Dépendance Saint-Urbain,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.512357,-73.573676,Centre De Réadaptation En Dépendance Prince-Arthur,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.522306,-73.622434,Centre De Réadaptation En Dépendance Du Nouveau Départ,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Mont-Royal,Quebec
45.523406,-73.495839,Centre De Réadaptation En Dépendance De Longueuil,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Longueuil,Quebec
45.544163,-73.907108,Territoire Jean-Olivier Chenier,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Deux-Montagnes,Quebec
45.553915,-73.648363,Centre De Réadaptation En Dépendance Louvain,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Montréal,Quebec
45.553919,-73.699979,Centre De Réadaptation En Dépendance De Laval,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Laval,Quebec
45.634166,-72.965905,Centre De Réadaptation En Dépendance De Saint-Hyacinthe,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Hyacinthe,Quebec
45.640169,-73.843135,Centre De Réadaptation En Dépendance De Thérèse-De Blainville,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Sainte-Thérèse,Quebec
45.654149,-73.748253,Centre De Réadaptation En Dépendance Bienville,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Laval,Quebec
45.763955,-73.997287,Centre De Réadaptation En Dépendance Saint-Antoine,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Jérôme,Quebec
45.776777,-74.001611,Centre André-Boudreau,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Jérôme,Quebec
45.776777,-74.001611,Centre De Réadaptation En Dépendance André-Boudreau,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Jérôme,Quebec
45.788665,-74.006185,Centre De Réadaptation En Dépendance De Saint-Jérôme,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Jérôme,Quebec
45.879309,-74.012149,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Prévost,Quebec
45.880879,-74.014337,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Prévost,Quebec
46.018376,-73.441335,Centre De Réadaptation En Dépendance De Joliette,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Joliette,Quebec
46.045181,-73.08991,Centre De Réadaptation En Dépendance De Sorel-Tracy,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Sorel-Tracy,Quebec
46.055099,-74.28729,Centre De Réadaptation En Dépendance De Sainte-Agathe-Des-Monts,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Sainte-Agathe-Des-Monts,Quebec
46.064876,-71.96155,Centre De Réadaptation En Dépendance De Victoriaville,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Victoriaville,Quebec
46.287655,-72.688718,Centre De Réadaptation En Dépendance De Pointe-Du-Lac,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Trois-Rivières,Quebec
46.493319,-70.709686,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Malachie,Quebec
46.537631,-72.751308,Centre De Services De Shawinigan,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Shawinigan,Quebec
46.812786,-71.229468,Centre D'Accueil Le Programme De Portage,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Québec,Quebec
46.845614,-71.22159,Centre De Réadaptation En Dépendance De Québec,Addiction Rehabilitation Center,Ambulatory Health Care Services,Province of Québec,Québec,Quebec
46.894933,-71.822153,Centre De Services De Réadaptation En Dépendance De Saint-Raymond,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Saint-Raymond,Quebec
47.332937,-79.444265,Services Externes De Ville-Marie,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Ville-Marie,Quebec
47.435641,-72.777825,Centre De Réadaptation En Dépendance De La Tuque,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,La Tuque,Quebec
48.574601,-78.123745,Centre De Réadaptation En Dépendance D'Amos,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Amos,Quebec
48.740256,-69.079733,Centre De Protection Et De Réadaptation En Dépendance De Forestville,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Forestville,Quebec
49.118662,-66.484914,Centre De Réadaptation En Dépendance De La Haute-Gaspésie,Addiction Rehabilitation Center,Nursing And Residential Care Facilities,Province of Québec,Sainte-Anne-Des-Monts,Quebec
53.956179,-102.263573,Cumberland House Addiction Services,Addiction Services,Nursing And Residential Care Facilities,Saskatchewan Health Authorities,Cumberland House,Saskatchewan
42.98145508,-81.25403822,Middlesex-London Health Unit,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,London,Ontario
43.15184426,-80.27441232,Brant County Health Unit,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Brantford,Ontario
43.16336631,-79.23275439,Positive Living Niagara,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,St Catharines,Ontario
43.16930461,-79.23212199,Niagara Region Public Health Department,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,St Catharines,Ontario
43.24987719,-79.8729744,Wayside House Of Hamilton,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Hamilton,Ontario
43.35405261,-79.78458289,Halton Region Health Department,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Burlington,Ontario
43.52488982,-80.23374694,Wellington-Dufferin-Guelph Health Unit,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Guelph,Ontario
43.703961,-79.27812675,Warden Woods Community Centre,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Toronto,Ontario
43.70685039,-79.39598279,Hospice Toronto,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Toronto,Ontario
45.38799185,-75.67505383,South-East Ottawa Community Health Centre,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Ottawa,Ontario
45.42931296,-75.68351753,Sandy Hill Community Health Centre,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Ottawa,Ontario
45.43052396,-75.69009514,Ottawa Public Health,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Ottawa,Ontario
46.46622418,-80.99844758,Sudbury And District Health Unit,Aids Bureau,Ambulatory Health Care Services,Province of Ontario,Sudbury,Ontario
